127.0.0.1 - - [23/May/2025:09:30:01 +0000] "GET / HTTP/1.1" 200 5120 "https://www.google.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
127.0.0.1 - - [23/May/2025:09:30:03 +0000] "GET /about HTTP/1.1" 200 2048 "https://www.example.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)"
127.0.0.1 - - [23/May/2025:09:30:05 +0000] "GET /products/view?id=123 HTTP/1.1" 200 3321 "https://shop.search.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X)"
127.0.0.1 - - [23/May/2025:09:30:09 +0000] "POST /contact HTTP/1.1" 200 1024 "https://www.example.com/contact" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64)"
127.0.0.1 - - [23/May/2025:09:30:12 +0000] "GET /blog/10-seo-tips HTTP/1.1" 200 2765 "https://twitter.com/someuser" "Mozilla/5.0 (Windows NT 10.0; WOW64)"
127.0.0.1 - - [23/May/2025:09:30:14 +0000] "GET /static/js/app.js HTTP/1.1" 200 8487 "-" "Mozilla/5.0 (Linux; Android 11; Pixel 5)"
127.0.0.1 - - [23/May/2025:09:30:15 +0000] "GET /images/logo.png HTTP/1.1" 200 1240 "-" "Mozilla/5.0 (iPad; CPU OS 13_6 like Mac OS X)"
127.0.0.1 - - [23/May/2025:09:10:05 +0000] "GET /login?username=admin'--&password=123 HTTP/1.1" 403 512 "https://unknown.com" "Mozilla/5.0"
127.0.0.1 - - [23/May/2025:09:10:09 +0000] "GET /search?query=test'%20OR%201=1-- HTTP/1.1" 403 512 "https://sqlinjector.io" "Mozilla/5.0"
127.0.0.1 - - [23/May/2025:09:10:15 +0000] "GET /user?id=5%20UNION%20SELECT%20username,password%20FROM%20users-- HTTP/1.1" 403 512 "https://suspicious.org" "Mozilla/5.0"
127.0.0.1 - - [23/May/2025:09:10:05 +0000] "GET /login?username=admin'--&password=123 HTTP/1.1" 403 512 "https://unknown.com" "Mozilla/5.0"
127.0.0.1 - - [23/May/2025:09:10:09 +0000] "GET /search?query=test'%20OR%201=1-- HTTP/1.1" 403 512 "https://sqlinjector.io" "Mozilla/5.0"
127.0.0.1 - - [23/May/2025:09:10:15 +0000] "GET /user?id=5%20UNION%20SELECT%20username,password%20FROM%20users-- HTTP/1.1" 403 512 "https://suspicious.org" "Mozilla/5.0"
127.0.0.1 - - [23/May/2025:09:10:05 +0000] "GET /login?username=admin'--&password=123 HTTP/1.1" 403 512 "https://unknown.com" "Mozilla/5.0"
127.0.0.1 - - [23/May/2025:09:10:09 +0000] "GET /search?query=test'%20OR%201=1-- HTTP/1.1" 403 512 "https://sqlinjector.io" "Mozilla/5.0"
127.0.0.1 - - [23/May/2025:09:10:15 +0000] "GET /user?id=5%20UNION%20SELECT%20username,password%20FROM%20users-- HTTP/1.1" 403 512 "https://suspicious.org" "Mozilla/5.0"
127.0.0.1 - - [23/May/2025:09:10:05 +0000] "GET /login?username=admin'--&password=123 HTTP/1.1" 403 512 "https://unknown.com" "Mozilla/5.0"
127.0.0.1 - - [23/May/2025:09:10:09 +0000] "GET /search?query=test'%20OR%201=1-- HTTP/1.1" 403 512 "https://sqlinjector.io" "Mozilla/5.0"
127.0.0.1 - - [23/May/2025:09:10:15 +0000] "GET /user?id=5%20UNION%20SELECT%20username,password%20FROM%20users-- HTTP/1.1" 403 512 "https://suspicious.org" "Mozilla/5.0"
127.0.0.1 - - [23/May/2025:09:10:05 +0000] "GET /login?username=admin'--&password=123 HTTP/1.1" 403 512 "https://unknown.com" "Mozilla/5.0"
127.0.0.1 - - [23/May/2025:09:10:09 +0000] "GET /search?query=test'%20OR%201=1-- HTTP/1.1" 403 512 "https://sqlinjector.io" "Mozilla/5.0"
127.0.0.1 - - [23/May/2025:09:10:15 +0000] "GET /user?id=5%20UNION%20SELECT%20username,password%20FROM%20users-- HTTP/1.1" 403 512 "https://suspicious.org" "Mozilla/5.0"
